nop 00
move 01
move/from16 02
move/16 03
move-wide 04
move-wide/from16 05
move-wide/16 06
const/4 12
const/16 13
const 14
const/high16 15
const-wide/16 16
const-wide/32 17
const-wide 18
const-wide/high16 19
const-string 1a
const-string/jumbo 1b
cmpl-float 2d
cmpg-float 2e
cmpl-double 2f
cmpg-double 30
cmp-long 31
neg-int 7b
not-int 7c
neg-long 7d
not-long 7e
neg-float 7f
neg-double 80
int-to-long 81
int-to-float 82
int-to-double 83
long-to-int 84
long-to-float 85
long-to-double 86
float-to-int 87
float-to-long 88
float-to-double 89
double-to-int 8a
double-to-long 8b
double-to-float 8c
int-to-byte 8d
int-to-char 8e
int-to-short 8f
add-int 90
sub-int 91
mul-int 92
div-int 93
rem-int 94
and-int 95
or-int 96
xor-int 97
shl-int 98
shr-int 99
ushr-int 9a
add-long 9b
sub-long 9c
mul-long 9d
div-long 9e
rem-long 9f
and-long a0
or-long a1
xor-long a2
shl-long a3
shr-long a4
ushr-long a5
add-float a6
sub-float a7
mul-float a8
div-float a9
rem-float aa
add-double ab
sub-double ac
mul-double ad
div-double ae
rem-double af
add-int/2addr b0
sub-int/2addr b1
mul-int/2addr b2
div-int/2addr b3
rem-int/2addr b4
and-int/2addr b5
or-int/2addr b6
xor-int/2addr b7
shl-int/2addr b8
shr-int/2addr b9
ushr-int/2addr ba
add-long/2addr bb
sub-long/2addr bc
mul-long/2addr bd
div-long/2addr be
rem-long/2addr bf
and-long/2addr c0
or-long/2addr c1
xor-long/2addr c2
shl-long/2addr c3
shr-long/2addr c4
ushr-long/2addr c5
add-float/2addr c6
sub-float/2addr c7
mul-float/2addr c8
div-float/2addr c9
rem-float/2addr ca
add-double/2addr cb
sub-double/2addr cc
mul-double/2addr cd
div-double/2addr ce
rem-double/2addr cf
add-int/lit16 d0
rsub-int d1
mul-int/lit16 d2
div-int/lit16 d3
rem-int/lit16 d4
and-int/lit16 d5
or-int/lit16 d6
xor-int/lit16 d7
add-int/lit8 d8
rsub-int/lit8 d9
mul-int/lit8 da
div-int/lit8 db
rem-int/lit8 dc
and-int/lit8 dd
or-int/lit8 de
xor-int/lit8 df
shl-int/lit8 e0
shr-int/lit8 e1
ushr-int/lit8 e2
